"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1928","RT @Independent: iPhone X breaks disastrously during Apple keynote  ","2017-09-14 06:10:36","TRUE","16","0","-2","Apple IPhone","London","UK",TRUE
"1929","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:10:27","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1930","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:10:11","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1931","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:10:01","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1932","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:09:59","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1933","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:09:36","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1934","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:09:14","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1935","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:08:57","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1936","Conan jabs at the new iPhones facial recognition system  ","2017-09-14 06:08:17","FALSE","0","0","0","Apple IPhone","London","UK",FALSE
"1937","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:07:54","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1938","Apple has 200billion sitting untaxed.

We complain at large companies not paying their fair share.

We all rush to get the latest iPhone! ","2017-09-14 06:07:49","FALSE","0","0","0","Apple IPhone","London","UK",FALSE
